" ","","WT.","PACK",""," ","","WT.","                   PACK",""
"ORDER QTY","DORITOS","OZ","UPC","CASE","ORDER QTY","SANTITAS","OZ","UPC","CASE"
"","Bridges","","","","","TOSTITOS QUESO BLANCO DIP - LG JAR","23.0","FL-66872","12.0"
"","TMD Bottoms","","","","","","","",""
"","TMD Tops","","","","","","","",""
"","Clipstrips","","","","","","","",""
"","Weekenders   Empty","","","","","","","",""
"","Weekenders   Product-","","","","","","","",""
"","Weekenders   Product-","","","","","","","",""
"","Weekenders   Product-","","","","","READY TO GO","","",""
"","Weekenders   Product-","","","","","PEANUT BUTTER CHEESE CRACKERS","11.0","FL-02926","12.0"
"","Weekenders   Product-","","","","","PEANUT BUTTER GOLDEN TOAST CRACKERS","11.0","FL-02927","12.0"
"","","","","","","CHEETOS CHEDDAR CHEESE CRACKERS","11.0","FL-02925","12.0"
"","4X4 Display  Empty","","","","","","","",""
"","4X4 Display  Product-","","","","","IN AND OUT","","",""
"","","","","","","","","",""
"","Rolling Dip Rack","","","","","","","",""
